,Text,Sentiment
12908,"I love my mom, she`s the best mom on the planet",positive
1548,t   hope it rock,positive
12909,cute.,positive
14071,Aw thank you.,positive
1545,perfect,positive
25892,don`t be worried! I`m safe and sound!  <3 you!,positive
1551,WHOO HOO. Congrats on getting under 200lbs,positive
1593,Good,positive
25875,good,positive
14079,yay! you should do it. just think about the animals and it`s not as hard,positive
12895,good,positive
1589,Enjoy! Family trumps everything,positive
1588,t?  lovelovelove,positive
1586,it`s cool,positive
1585,wisely.,positive
1583,'The Complete Black Books' just arrived ... looking forward to some entertaining #tv nights!  #dvd,positive
1568,"You cant argue w/them, as they actually have zero things to complain",positive
1580,Happy Mo,positive
25864,Congrats!,positive
1578,"wow, that`s good",positive
25866,funny!,positive
25867,Congrats Hughesy to you and Holly on the safe arrival of Rafferty David Hughes! Hope all is well  xoxo,positive
14083,sweet,positive
1575,TY sweetheart,positive
1579,gorgeous,positive
1443,lovingly,positive
1442,beautiful.,positive
1441,good luck,positive
12987,"Happy,",positive
1354,Thank you,positive
26085,loving,positive
1350,hope ya sleepin well  guys,positive
12990,glad its nice there.,positive
26091,you taste so good,positive
13997,Happy mother`s day and to the god mother`s and step mother`s too....,positive
26092,"A nice,",positive
1342,she`s such an amazing singer,positive
12998,e fab,positive
26097,delicious,positive
1340,happy star wars dayyyy,positive
26099,Congrat,positive
1339,Thanks G!,positive
1343,love,positive
1336,amazecore!!,positive
1357,sweet!,positive
1360,r the Best Job in the World. Good luck.,positive
1374,e funny,positive
12975,sounds like a great way to to start mothers day! Enjoy your day,positive
1371,were soooooo cute,positive
12976,Is sooo waking both of them up on my way back to SB  good night america,positive
